ElementID	Dimension	Type Level 1	Type Level 2	Type Level 3	Type Level 4	Definition	Industry	Bildungsweg 1	Bildungsweg 2	Bildungsweg 3	Bildungsweg 4	Bildungsweg 5	Bildungsweg 6	Bildungsweg 7	Bildungsweg 8	Bildungsweg 9	Bildungsweg 10	Source	Connection SwissICT Model
2.1.9	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Sprachliche Fertigkeiten		Fertigkeiten, die den Erwerb und die Anwendung von verbalen Informationen beeinflussen													
2.1.9.1	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Sprachliche Fertigkeiten	Mündliches Verstehen	In Worten und Sätzen gesprochene Informationen und Ideen hören und verstehen.												https://www.onetonline.org/find/descriptor/result/1.A.1.a.1	
2.1.9.2	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Sprachliche Fertigkeiten	Schriftliches Verstehen	Schriftlich dargestellte Informationen und Ideen lesen und verstehen.												https://www.onetonline.org/find/descriptor/result/1.A.1.a.2	
2.1.9.3	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Sprachliche Fertigkeiten	Mündliche Ausdrucksfähigkeit	Informationen und Ideen in mündlicher Form so vermitteln, dass andere sie verstehen.												https://www.onetonline.org/find/descriptor/result/1.A.1.a.3	
2.1.9.4	Deskriptor	Fertigkeit	Kognitive Fertigkeit	Sprachliche Fertigkeiten	Schriftlicher Ausdrucksfähigkeit	Informationen und Ideen schriftlich so vermitteln, dass andere sie verstehen.												https://www.onetonline.org/find/descriptor/result/1.A.1.a.4	
2.2.1	Deskriptor	Fertigkeit	Soziale Fertigkeit	Social Perceptiveness		Being aware of others' reactions and understanding why they react as they do.												https://www.onetonline.org/find/descriptor/result/2.B.1.a	
2.2.1	Deskriptor	Fertigkeit	Soziale Fertigkeit	Koordinieren		Handlungen in Bezug auf die Handlungen anderer anpassen.												https://www.onetonline.org/find/descriptor/result/2.B.1.b	
2.2.2	Deskriptor	Fertigkeit	Soziale Fertigkeit	Überzeugen		Andere davon überzeugen, ihre Meinung oder ihr Verhalten zu ändern.												https://www.onetonline.org/find/descriptor/result/2.B.1.c	
2.2.3	Deskriptor	Fertigkeit	Soziale Fertigkeit	Verhandeln		Andere zusammenbringen und versuchen, Differenzen auszugleichen.												https://www.onetonline.org/find/descriptor/result/2.B.1.d	
2.2.4	Deskriptor	Fertigkeit	Soziale Fertigkeit	Anleiten		Anderen beibringen, wie sie etwas tun sollen.												https://www.onetonline.org/find/descriptor/result/2.B.1.e	
